Phrase,Count,Category
drug product,339,Approval
food drug,161,Approval
listed drug,147,Approval
proposed drug,123,Approval
section 505,121,Approval
21 cfr,117,Approval
safety effectiveness,116,Approval
drug administration,98,Approval
505 act,83,Approval
cfr 314,69,Approval
animal drug,68,Approval
new animal,66,Approval
cosmetic act,60,Approval
drug cosmetic,60,Approval
dosage form,59,Approval
drug products,59,Approval
reviewed petition,59,Approval
314 93,58,Approval
petition section,57,Approval
approved letter,56,Approval
proposed drug product,114,Approval
food drug administration,97,Approval
listed drug product,94,Approval
section 505 act,83,Approval
21 cfr 314,67,Approval
new animal drug,65,Approval
drug cosmetic act,60,Approval
food drug cosmetic,59,Approval
approved letter represents,56,Approval
determined approved letter,56,Approval
reviewed petition section,55,Approval
submitted referenced drug,54,Approval
anda submitted referenced,53,Approval
determination anda submitted,53,Approval
drug administration fda,53,Approval
act reviewed petition,52,Approval
referenced drug product,50,Approval
fda determination anda,49,Approval
drug product unless,47,Approval
petition section 505,47,Approval
