Phrase,Distinctive_To,Primary_Count,Other_Count,Ratio
listed drug,Approval,147,0,147.0
proposed drug,Approval,123,0,123.0
safety effectiveness,Approval,116,0,116.0
505 act,Approval,83,0,83.0
cfr 314,Approval,69,0,69.0
animal drug,Approval,68,0,68.0
new animal,Approval,66,0,66.0
dosage form,Approval,59,0,59.0
reviewed petition,Approval,59,0,59.0
314 93,Approval,58,0,58.0
petition section,Approval,57,0,57.0
approved letter,Approval,56,0,56.0
drug product,Approval,339,101,3.3564356435643563
fd act,Denial,133,0,133.0
cfr 10,Denial,125,0,125.0
10 30,Denial,98,0,98.0
citizen petition,Denial,78,0,78.0
new drug,Denial,77,0,77.0
denying petition,Denial,76,0,76.0
federal food,Denial,73,0,73.0
petition denied,Denial,72,0,72.0
fda gov,Denial,71,0,71.0
docket fda,Denial,61,0,61.0
drug application,Denial,58,0,58.0
reasons stated,Denial,56,0,56.0
