Phrase,Count,Category
21 cfr,220,Denial
food drug,159,Denial
fd act,133,Denial
cfr 10,125,Denial
drug product,101,Denial
10 30,98,Denial
section 505,96,Denial
citizen petition,78,Denial
drug cosmetic,77,Denial
new drug,77,Denial
cosmetic act,76,Denial
denying petition,76,Denial
federal food,73,Denial
petition denied,72,Denial
fda gov,71,Denial
drug administration,66,Denial
drug products,63,Denial
docket fda,61,Denial
drug application,58,Denial
reasons stated,56,Denial
21 cfr 10,115,Denial
food drug cosmetic,77,Denial
cfr 10 30,76,Denial
drug cosmetic act,75,Denial
federal food drug,72,Denial
food drug administration,64,Denial
new drug application,52,Denial
accordance 21 cfr,49,Denial
www fda gov,46,Denial
act fd act,42,Denial
cosmetic act fd,42,Denial
carefully reviewed petition,35,Denial
drug application nda,34,Denial
fd act 21,31,Denial
21 cfr 314,28,Denial
drug administration fda,26,Denial
505 federal food,25,Denial
section 505 federal,25,Denial
505 fd act,24,Denial
information available agency,24,Denial
