Pattern,Reasoning_Clause,Decision
Other/Unspecified,the presence of methylcellulose and carrageenan is not revealed on food menus,Denial
Other/Unspecified,"ed on the information presently before the agency, that the absence of such declarations of methylcellulose and carrageenan on food menus renders such",Denial
Other/Unspecified,"the information presently before the agency, that the absence of such declarations of methylcellulose and carrageenan on food menus renders such labe",Denial
Safety Established,"""a decision whether plan b, a systemic hormonal contraceptive drug, may be safely used without a prescription"" by women younger than 17 years of age",Denial
Other/Unspecified,entrusted this responsibility; it should not be made by a federal district court judge,Denial
Other/Unspecified,"reconsidered its decisions regarding the ""switch to otc use,"" taking into account the record before the agency and the relevant developments since th",Denial
Other/Unspecified,subjects would be required,Denial
Other/Unspecified,"aware, even at the time of the remand, that the plan b sponsor intended to conduct actual use and label compr",Denial
Other/Unspecified,raised by the petitions,Denial
Other/Unspecified,"ons that follow, the relevant portions of the petitions are denied",Denial
Public Health Benefit,the drug is known to have caused at least 21 cases of liver failure and has no unique therapeutic benefit over other drugs for the treatment of atten,Denial
Other/Unspecified,"ed commercial distribution of cylert on september 16, 2005",Denial
Other/Unspecified,ed marketing the drug,Denial
Other/Unspecified,"all pemoline products have been removed from the market, the outcome sought by your petition has been achieved and thus, as a practical matter, your",Denial
Other/Unspecified,the drugs are no longer being marketed,Denial
Other/Unspecified,"ons described below, your petition is denied",Denial
Other/Unspecified,"s are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus (""type 2 diabetes"")",Denial
Other/Unspecified,also approved two combination products that contain rosiglitazone maleate together with another antidiabetic active ingredient,Denial
Other/Unspecified,approved (21 cfr 314,Denial
Other/Unspecified,a basis for approval of that anda (id,Denial
Other/Unspecified,"(including those submitted under section 505(b)(2)) and andas submitted under section 505(j)), as well as applications submitted under section 351 of",Denial
Other/Unspecified,"explained in the letter, fda had reviewed the oxycontin labeling supplements and issued letters stating that each of the three supplements was not ap",Denial
Other/Unspecified,"the labeling supplements were not approvable, the labeling for a generic version of oxycontin was not required to include the language regarding the",Denial
Other/Unspecified,"not necessary prior to implementation of the riskmap, and in light of the fact that generic products will have riskmaps consistent with that for oxyc",Denial
Already Addressed/Moot,moot with regard to that issue,Denial
Other/Unspecified,"been established, a food is adulterated under section 402(a)(l) ofthe federal food, drug & cosmetic act (fd&c act) simply by exceeding it",Denial
Other/Unspecified,well as on fda and the courts,Denial
Already Addressed/Moot,"already established for methylmercury in seafood, is a ""level of contamination at which a food may be regarded as adulterated",Denial
Other/Unspecified,"been established, each time fda wishes to remove food from commerce that equals or exceeds the action level, fda has the burden of establishing de no",Denial
Already Addressed/Moot,"recounted above, are moot",Denial
Other/Unspecified,"we need not make these determinations to resolve your petition, the requests in the petition and at (1) and (2) of the supplement, above, are denied",Denial
Already Addressed/Moot,"noted above, this issue is moot in the specific situation at hand",Denial
Safety Established,sure safe use because the agency concluded that the drug can be safely used only if distribution or use is restricted (e,Denial
Safety Established,the drug can be safely used only if distribution or use is restricted (e,Denial
Other/Unspecified,"e tablets, 70 mg and 95 mg",Denial
Other/Unspecified,"e tablets, 135 mg, approved under nda 050808 held by medicis pharmaceutical corporation (medicis)",Denial
Other/Unspecified,it is frequently diverted to the ilegal manufacture of methamphetamine,Denial
Insufficient Evidence,ures to combat the diversion ofpse to manufacture methamphetamine have been inadequate,Denial
Other/Unspecified,"there are non-precursor alternatives that can replace pse, pse should be removed from the market",Denial
Other/Unspecified,"ons set forth below, your petition is denied",Denial
Other/Unspecified,"al or sinus congestion caused by the common cold, sinusitis, and respiratory allergies",Denial
Other/Unspecified,"k force concluded that because computer processing of claims must be an integral part of such programs, there was an urgent need for a standardized dr",Denial
Other/Unspecified,"k force also found that a standardized drug coding system was needed for drug manufacturers, re-packers, wholesalers, and others to facilitate the pro",Denial
Other/Unspecified,a drug moves through routine commercial channels,Denial
Other/Unspecified,signed the task of developing and operating the ndc system to fda,Denial
Other/Unspecified,) or abbreviated new drug applications (andas),Denial
Other/Unspecified,"used in this response, reta",Denial
Other/Unspecified,"reviewed your petition and, as we discuss below, we share some of the concerns outlined there",Denial
Other/Unspecified,sification of a device,Denial
Other/Unspecified,sification petitions must be filed in accordance with 21 c,Denial
Other/Unspecified,reviewed the information in your petition and is denying your petition for the reasons discussed below,Denial
Public Health Benefit,"not been met and a public health advisory with a voluntary recall is not warranted section 515(e)(l) of the federal food, drug, and cosmetic act (fd&",Denial
Sufficient Evidence,"is of new information before fda with respect to the device, evaluated together with the evidence available when the application was approved, there i",Denial
Safety Established,"onable assurance that the device is safe or effective under the conditions of use prescribed, recommended, or suggested in the labeling of the device,",Denial
Safety Established,"a failure to show reasonable assurance that the device is safe or effective under the conditions of use prescribed, recommended, or suggested in the",Denial
Other/Unspecified,erin 10 mg bid and 10 mg qd,Denial
Other/Unspecified,"erin according to its established procedures and approved the application on june 27, 2012, pursuant to section 505(c) of the food, drug, and cosmetic",Denial
Already Addressed/Moot,"erin nda has now been approved, your petition is denied as moot",Denial
