Document ID,Petitioner,Petitioner_Category,Denial_Reason,Rationale_Depth
FDA-2001-P-0122-0001,Ruth Armstrong,Other,Other/Unspecified,Highly detailed
FDA-2001-P-0123-0188,The Center for Reproductive Law & Policy,Other,Other/Unspecified,Moderately detailed
FDA-2001-P-0123-0029,The Center for Reproductive Law & Policy,Other,Premature/Pending other action,Highly detailed
FDA-2001-P-0123-0186,The Center for Reproductive Law & Policy,Other,Procedural issue,Highly detailed
FDA-2001-P-0153-0002,Heather Brodie Perry,Other,Premature/Pending other action,Highly detailed
FDA-2004-P-0001-0004,Coalition for Mercury-free Drugs (CoMeD),Other,Premature/Pending other action,Highly detailed
FDA-2004-P-0009-0004,Public Citizen,Public Interest,Insufficient evidence/data,Highly detailed
FDA-2004-P-0014-0002,Pfizer Inc. - [Wiley Rein & Fielding Llp],Industry,Insufficient evidence/data,Highly detailed
FDA-2004-P-0017-0005,Pharmacists Planning Service,Industry,Other/Unspecified,Highly detailed
FDA-2004-P-0164-0006,Billy G. Pierson,Other,Procedural issue,Minimal
FDA-2004-P-0214-0028,"Genentech, Inc",Industry,Procedural issue,Highly detailed
FDA-2004-P-0274-0003,Alza Corporation,Industry,Premature/Pending other action,Highly detailed
FDA-2004-P-0278-0004,Center For Science In The Public Interest (Cspi),Other,Enforcement discretion,Highly detailed
FDA-2004-P-0295-0004,University Of Medicine And Dentistry Of New Jersey-Robert Wood Johnson Medical School,Other,Other/Unspecified,Highly detailed
FDA-2004-P-0418-0003,"Olsson,Frank and Weeda, P.C",Other,Other/Unspecified,Highly detailed
FDA-2005-P-0007-0007,Environmental Defense,Other,Procedural issue,Highly detailed
FDA-2005-P-0059-0080,American College Of Gastroenterology,Other,Procedural issue,Highly detailed
FDA-2005-P-0136-0003,Public Citizen,Public Interest,Other/Unspecified,Moderately detailed
FDA-2005-P-0190-0004,"Sterne, Kessler, Goldstein & Fox, P.L.L.C.",Other,Premature/Pending other action,Highly detailed
FDA-2005-P-0192-0005,Public Citzen'S Health Research Group,Other,Premature/Pending other action,Highly detailed
FDA-2005-P-0206-0003,Morton Grove Pharmaceuticals,Industry,Other/Unspecified,Highly detailed
FDA-2005-P-0256-0002,Public Citizen,Public Interest,Moot/Withdrawn,Brief
FDA-2006-P-0326-0002,Public Citizen Health Research Group,Public Interest,Premature/Pending other action,Highly detailed
FDA-2006-P-0329-0008,Mylan Laboratories Inc.,Industry,Premature/Pending other action,Highly detailed
FDA-2007-P-0003-0009,Purdue Pharma L.P.,Industry,Premature/Pending other action,Highly detailed
FDA-2007-P-0009-0010,The National Center On Addiction And Substance Abuse At Columbia University (Casa),Other,Insufficient evidence/data,Highly detailed
FDA-2007-P-0051-0003,Sidelines National Support Network,Other,Insufficient evidence/data,Highly detailed
FDA-2007-P-0055-0007,Pharmaceutical Scientist Inc.,Industry,Moot/Withdrawn,Highly detailed
FDA-2007-P-0064-0004,"Emil A. Tanghetti, M.D.",Other,Other/Unspecified,Highly detailed
FDA-2007-P-0110-0004,Physicians Committee For Responsible Medicine (Pcrm),Other,Other/Unspecified,Highly detailed
FDA-2007-P-0113-0028,Celgene Corporation,Industry,Moot/Withdrawn,Highly detailed
FDA-2007-P-0118-0025,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",Other,Enforcement discretion,Highly detailed
FDA-2007-P-0118-0026,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",Other,Enforcement discretion,Highly detailed
FDA-2007-P-0118-0027,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",Other,Enforcement discretion,Highly detailed
FDA-2007-P-0118-0028,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",Other,Enforcement discretion,Highly detailed
FDA-2007-P-0118-0029,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",Other,Enforcement discretion,Highly detailed
FDA-2007-P-0118-0030,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",Other,Enforcement discretion,Highly detailed
FDA-2007-P-0118-0031,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",Other,Enforcement discretion,Highly detailed
FDA-2007-P-0118-0032,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",Other,Enforcement discretion,Highly detailed
FDA-2007-P-0118-0033,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",Other,Enforcement discretion,Highly detailed
FDA-2007-P-0118-0034,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",Other,Enforcement discretion,Highly detailed
FDA-2007-P-0118-0035,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",Other,Enforcement discretion,Highly detailed
FDA-2007-P-0119-0007,"Cancer Prevention Coalition, Et Al",Other,Premature/Pending other action,Highly detailed
FDA-2007-P-0123-0009,"United Research Laboratories, Inc., Mutual Pharmaceutical Company, Inc.",Industry,Procedural issue,Highly detailed
FDA-2007-P-0130-0020,National Toxic Encephalopathy Foundation,Other,Insufficient evidence/data,Highly detailed
FDA-2007-P-0168-0047,Caretolive,Other,Premature/Pending other action,Highly detailed
FDA-2007-P-0170-0009,Teva Pharmaceuticals Usa,Industry,Premature/Pending other action,Highly detailed
FDA-2007-P-0171-0006,Warner Chilcott Inc.,Industry,Procedural issue,Highly detailed
FDA-2007-P-0179-0003,Pfizer Inc.,Industry,Premature/Pending other action,Highly detailed
FDA-2007-P-0180-0021,The Alliance Against Alveolar Soft Part Sarcoma And The Sarcoma Foundation Of America,Other,Moot/Withdrawn,Highly detailed
FDA-2007-P-0183-0005,Purdue Pharma L.P. and Rhodes Technologies,Industry,Premature/Pending other action,Highly detailed
FDA-2007-P-0184-0005,Judy Slome Cohain,Other,Other/Unspecified,Moderately detailed
FDA-2007-P-0188-0006,"Beckloff Associates, Inc.",Industry,Premature/Pending other action,Highly detailed
FDA-2007-P-0234-0006,"Terence J. Mix, Esq.",Other,Insufficient evidence/data,Highly detailed
FDA-2007-P-0234-0014,"Terence J. Mix, Esq.",Other,Insufficient evidence/data,Highly detailed
FDA-2007-P-0243-0006,Michael J. Dochniak,Other,Insufficient evidence/data,Highly detailed
FDA-2007-P-0245-0005,Purdue Pharma L.P.,Industry,Moot/Withdrawn,Highly detailed
FDA-2007-P-0292-0003,Prolacta Bioscience,Other,Other/Unspecified,Highly detailed
FDA-2007-P-0293-0008,David K. Richardson,Other,Enforcement discretion,Highly detailed
FDA-2007-P-0346-0023,"Richard Sauerheber, Palomar College",Other,Other/Unspecified,Moderately detailed
FDA-2007-P-0350-0003,Pfizer Inc,Industry,Premature/Pending other action,Highly detailed
FDA-2007-P-0401-0005,Public Citizen Health Research Group,Public Interest,Other/Unspecified,Highly detailed
FDA-2007-P-0412-0005,C Smith,Other,Enforcement discretion,Moderately detailed
FDA-2007-P-0413-0007,"Pharmacists Planning Service, Inc.",Industry,Premature/Pending other action,Moderately detailed
FDA-2007-P-0417-0004,Consumers Union,Public Interest,Procedural issue,Moderately detailed
FDA-2007-P-0464-0003,Ralph D. Childs,Other,Enforcement discretion,Highly detailed
FDA-2007-P-0483-0006,"Matrix Laboratories, Inc.",Industry,Other/Unspecified,Moderately detailed
FDA-2007-P-0497-0004,Norbrook Inc.,Industry,Other/Unspecified,Moderately detailed
FDA-2000-P-0183-0001,FDA OC to Robert Cohen,Other,Other/Unspecified,Brief
FDA-2000-P-0918-0001,CFSAN to Public Voice for Food,Other,Other/Unspecified,Moderately detailed
FDA-2000-P-0126-0132,,Unknown,Premature/Pending other action,Highly detailed
FDA-2000-P-0252-0013,FDA CDRH to B,Other,Other/Unspecified,Highly detailed
FDA-2002-P-0044-0001,FDA Associate Commissioner fo,Other,Other/Unspecified,Highly detailed
FDA-2002-P-0004-0002,FDA Associate Commissi,Other,Other/Unspecified,Highly detailed
FDA-2002-P-0007-0013,The Weinberg Group Inc Denial,Industry,Other/Unspecified,Highly detailed
FDA-2002-P-0004-0003,FDA Associate Commissi,Other,Other/Unspecified,Highly detailed
FDA-2002-P-0007-0003,FDA CDER to The Weinberg Grou,Other,Other/Unspecified,Highly detailed
FDA-2003-P-0179-0002,FDA CDER to Hogan   Hartson,Other,Moot/Withdrawn,Highly detailed
FDA-2003-P-0117-0001,FDA CDER to Zuckerman Spaeder,Other,Moot/Withdrawn,Moderately detailed
FDA-2003-P-0126-0002,FDA CDER to HRA Pharma,Industry,Other/Unspecified,Highly detailed
FDA-2004-P-0211-0004,FDA C,Other,Other/Unspecified,Highly detailed
FDA-2005-P-0125-0004,FDA CDER to James Salsman,Other,Procedural issue,Highly detailed
FDA-2005-P-0070-0006,,Unknown,Premature/Pending other action,Highly detailed
FDA-2005-P-0005-0004,FDA CDER to ISTA Pharmaceutic,Industry,Moot/Withdrawn,Highly detailed
FDA-2005-P-0067-0004,FDA CDRH to Zuckerman Spaeder,Other,Moot/Withdrawn,Highly detailed
FDA-2005-P-0261-0004,FDA CDRH to International Myo,Other,Enforcement discretion,Highly detailed
FDA-2008-P-0366-0007,Purdue Pharma L P    Petition Denial,Industry,Premature/Pending other action,Highly detailed
FDA-2008-P-0343-0009,Novo Nordisk  Inc    Petition Denial,Industry,Moot/Withdrawn,Highly detailed
FDA-2008-P-0309-0011,,Unknown,Other/Unspecified,Highly detailed
FDA-2008-P-0452-0011,FDA C,Other,Enforcement discretion,Highly detailed
FDA-2008-P-0319-0028,Lauranell H  Burch   Petition Denial,Other,Other/Unspecified,Moderately detailed
FDA-2008-P-0438-0003,,Unknown,Other/Unspecified,Highly detailed
FDA-2008-P-0444-0005,Codonics Inc    Petition Denial,Industry,Enforcement discretion,Minimal
FDA-2008-P-0291-0004,PRN Publishing   Petition Denial,Other,Other/Unspecified,Moderately detailed
FDA-2009-P-0122-0004,FDA CBER,Other,Other/Unspecified,Highly detailed
FDA-2009-P-0039-0008,FDA CDER Let,Other,Other/Unspecified,Highly detailed
FDA-2009-P-0111-0004,Mr  Thomas J  Quinn   Petition Denial,Other,Enforcement discretion,Brief
FDA-2010-P-0091-0122,FDA CDER to,Other,Premature/Pending other action,Highly detailed
FDA-2010-P-0050-0006,,Unknown,Other/Unspecified,Highly detailed
FDA-2010-P-0015-0006,FDA CDER to,Other,Other/Unspecified,Moderately detailed
FDA-2010-P-0087-0004,Sandoz  Inc    Petition Denial,Industry,Premature/Pending other action,Highly detailed
FDA-2010-P-0069-0007,Foley   Lardner LLP   Petition Denial,Other,Premature/Pending other action,Highly detailed
FDA-2010-P-0081-0009,FDA CFSAN to,Other,Insufficient evidence/data,Highly detailed
FDA-2011-P-0642-0016,FDA CDER to Center for Inquiry,Other,Moot/Withdrawn,Highly detailed
FDA-2011-P-0723-0788,FDA CFSAN to,Other,Procedural issue,Highly detailed
FDA-2011-P-0702-0003,Warner Chilcott  US   L,Other,Premature/Pending other action,Highly detailed
FDA-2011-P-0479-0004,FDA C,Other,Other/Unspecified,Highly detailed
FDA-2011-P-0347-0007,FDA CDER to VPNA,Other,Moot/Withdrawn,Highly detailed
FDA-2011-P-0840-0003,Perrigo Company Petition Denial,Other,Premature/Pending other action,Highly detailed
FDA-2011-P-0128-0004,ISTA Pharmaceuticals   Petition Denial,Industry,Premature/Pending other action,Highly detailed
FDA-2011-P-0515-0004,Pharmacists Planning Service,Industry,Other/Unspecified,Moderately detailed
FDA-2011-P-0087-0004,Navinta LLC   Petition Denial,Industry,Premature/Pending other action,Highly detailed
