Term,TF_IDF_Score,Category
drug,0.5160891859111839,Approval
fda,0.3348128593598806,Approval
petition,0.2767528259448724,Approval
product,0.257399481473203,Approval
drug product,0.2186927925298642,Approval
act,0.1838567724808593,Approval
proposed,0.15224630984379928,Approval
section,0.12192607017151721,Approval
strength,0.11870051275957232,Approval
food,0.11031406348851558,Approval
listed,0.11031406348851558,Approval
new,0.1096689520061266,Approval
food drug,0.10386294866462577,Approval
administration,0.10321783718223679,Approval
approved,0.10257272569984781,Approval
listed drug,0.09483138791118005,Approval
21,0.09418627642879107,Approval
safety,0.09225094198162413,Approval
anda,0.08773516160490127,Approval
505,0.0870900501225123,Approval
submitted,0.08579982715773433,Approval
letter,0.0838644927105674,Approval
proposed drug,0.07934871233384454,Approval
cfr,0.07870360085145556,Approval
section 505,0.07805848936906658,Approval
effectiveness,0.07676826640428862,Approval
21 cfr,0.07547804343951066,Approval
safety effectiveness,0.07483293195712168,Approval
proposed drug product,0.07354270899234372,Approval
314,0.0709622630627878,Approval
reference,0.06386603675650901,Approval
drug administration,0.06322092527412003,Approval
food drug administration,0.06257581379173105,Approval
agency,0.06193070230934208,Approval
determined,0.06193070230934208,Approval
generic,0.0612855908269531,Approval
finds,0.06064047934456412,Approval
listed drug product,0.06064047934456412,Approval
requirements,0.05935025637978616,Approval
animal,0.0580600334150082,Approval
request,0.0580600334150082,Approval
application,0.0548344760030633,Approval
approval,0.05418936452067431,Approval
505 act,0.05354425303828533,Approval
section 505 act,0.05354425303828533,Approval
change,0.052899141555896353,Approval
products,0.052899141555896353,Approval
rld,0.052254030073507374,Approval
nda,0.050318695626340434,Approval
reviewed,0.050318695626340434,Approval
