Term,TF_IDF_Score,Category
fda,0.47781945725988484,Denial
petition,0.46242144856671635,Denial
drug,0.31614036598161566,Denial
act,0.18285135323137586,Denial
21,0.17034047116817647,Denial
section,0.12895832280528613,Denial
products,0.12751475949030158,Denial
food,0.12270288177368643,Denial
product,0.12270288177368643,Denial
information,0.12174050623036341,Denial
cfr,0.11837219182873279,Denial
request,0.11740981628540977,Denial
approved,0.11692862851374825,Denial
agency,0.11019199971048703,Denial
10,0.10874843639550248,Denial
21 cfr,0.1058613097655334,Denial
new,0.09864349319061066,Denial
use,0.09238805215901097,Denial
nda,0.08228310895411914,Denial
reasons,0.08083954563913459,Denial
review,0.07987717009581156,Denial
submitted,0.0779524190091655,Denial
food drug,0.07650885569418095,Denial
denying,0.07217816574922732,Denial
30,0.06977222689091973,Denial
fd,0.06929103911925823,Denial
action,0.06640391248928913,Denial
application,0.06592272471762761,Denial
available,0.06496034917430459,Denial
labeling,0.06447916140264306,Denial
fd act,0.06399797363098156,Denial
requests,0.06303559808765852,Denial
drugs,0.06062965922935094,Denial
cfr 10,0.06014847145768943,Denial
approval,0.059186095914366396,Denial
505,0.057261344827720335,Denial
docket,0.05629896928439731,Denial
federal,0.05581778151273579,Denial
21 cfr 10,0.055336593741074275,Denial
safety,0.05485540596941276,Denial
regulations,0.05100590379612063,Denial
public,0.05052471602445912,Denial
citizen,0.050043528252797606,Denial
background,0.04956234048113609,Denial
denied,0.04859996493781306,Denial
drug product,0.04859996493781306,Denial
reviewed,0.04859996493781306,Denial
device,0.047637589394490025,Denial
10 30,0.04715640162282851,Denial
section 505,0.046194026079505485,Denial
