Document ID,Docket ID,Title,Petition Date,Response Date,FDA Center,Petitioner,"Type of Document (Petition, Interim Response, Final Response)",Response Type,Mined_Response_Type,Document_Role,is_scanned
FDA-2001-P-0030-0004,FDA-2001-P-0030,"Duramed Pharmaceuticals, Inc. - Citizen Petition",5/1/01,,CDER,"Duramed Pharmaceuticals, Inc.",Petition,Approved,Approved,Correspondence,True
FDA-2001-P-0030-0003,FDA-2001-P-0030,"FDACDER Response to Duramed Pharmaceuticals, Inc. - Petition Approval",,7/9/02,CDER,"Duramed Pharmaceuticals, Inc.",Final Response,Approved,Approved,Final FDA Response,False
FDA-2001-P-0054-0002,FDA-2001-P-0054,"Ferndale Laboratories, Inc. - Citizen Petition",11/8/01,,CDER,"Ferndale Laboratories, Inc.",Petition,Withdrawn,Withdrawn,Interim FDA Response,True
FDA-2001-P-0054-0001,FDA-2001-P-0054,FDA/CDER to Ferndale Laboratories Inc,,02/04/04,CDER,"Ferndale Laboratories, Inc.",Interim Response,,,Initial Petition,True
FDA-2001-P-0122-0002,FDA-2001-P-0122,Citizen Petition from Ruth Armstrong,1/19/01,,CFSAN,Ruth Armstrong,Petition,Denied,Denied,Final FDA Response,False
FDA-2001-P-0122-0007,FDA-2001-P-0122,Interim Response Letter from FDA CFSAN to Ruth Armstrong,,7/27/01,CFSAN,Ruth Armstrong,Interim Response,Denied,Denied,Initial Petition,False
FDA-2001-P-0122-0001,FDA-2001-P-0122,Citizen Petition Denial Response Letter from FDA ORA to Ruth Armstrong,,8/23/04,CFSAN,Ruth Armstrong,Final Response,Denied,Denied,Correspondence,False
FDA-2001-P-0123-0045,FDA-2001-P-0123,The Center for Reproductive Law & Policy et al - Citizen Petition,2/13/01,,CDER,The Center for Reproductive Law & Policy,Petition,,,Other Document,True
FDA-2001-P-0123-0060,FDA-2001-P-0123,HFD-1 to Center for Reproductive Law & Policy - Letter,,9/6/01,CDER,The Center for Reproductive Law & Policy,Interim Response,Response received,Response received,Correspondence,False
FDA-2001-P-0123-0188,FDA-2001-P-0123,"Citizen Petition Denial Response from FDA CDER to Pharmacists Planning Service, Inc.",,12/30/15,CDER,The Center for Reproductive Law & Policy,Final Response,Denied,Denied,Correspondence,False
