Document_ID,Docket_ID,Document_Title,Petitioner,FDA_Center,Decision,Enhanced_Category,Confidence,Key_Phrases,Rationale_Text,Document_Link
FDA-2001-P-0030-0003,FDA-2001-P-0030,"FDACDER Response to Duramed Pharmaceuticals, Inc. - Petition Approval","Duramed Pharmaceuticals, Inc.",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, anda, safety","ecker assert that this petition should be denied because it fails to establish an adequate basis for assuring the safety and efficacy of the tablet formulation without additional clinical studies and/or significant labeling changes. In particular, Kleinfeld, Kaplan and Becker assert that the proposed product will have a different “food effect” than Unimed’s products and that the safety and effectiveness of the proposed product may be compromised by crushing the proposed product and sprinkling it on food before ingestion. Furthermore, Kleinfeld, Kaplan and Becker reject Duramed’s justifications for the change requested. Your request involves a change in dosage form from that of the listed drug products (i.e., from capsules to tablets). The change you request is the type of change that is authorized under the Federal Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505@(2)(C) of the Act and have determined that it is approved. This letter represents the Agency’s determination that an ANDA may",
FDA-2003-P-0122-0003,FDA-2003-P-0122,"Petition Approval Letter from FDA CDER to Lachman Consultant Services, Inc.","Lachman Consultant Services, Inc.",CDER,Approved,Safety Established,high,"anda, safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j) (2) (C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration’s (FDA) determination that an ANDA may be submitted for the above-referenced drug product. In addition, this petition and your waiver request were evaluated with respect to the “Pediatric Research Equity Act of 2003” (PREA). PREA requires that all applications for new active ingredients, new indications, new dosage forms, new dosing regimens, or new routes of administration include an assessment of the safety and effectiveness of the drug for the claimed indication in all relevant pediatric subpopulations unless the requirement is waived or deferred. Your pending ANDA suitability petition is affected by this Act because it is a petition for a change in dosage form. Clonazepam is labeled for pediatric use for seizure disorders which includes dosing instructions for pediatric patients down to infants. However, pediatric",
FDA-2005-P-0003-0009,FDA-2005-P-0003,FDA/CDER to Sandoz Inc. - Petition Approval,Sandoz Inc.,CDER,Approved,FDA Concurrence,medium,granted,"and other relevant data available to the Agency. Based on our review ofthese materials and for the reasons described below, the Sandoz, Rakoczy, and Orchid Petitions are granted and the Wyeth Petition is granted in part and denied in part. I. BACKGROUND A. Zosyn Zosyn (piperaciIlin and tazobactam for injection) is an injectable antibacterial combination drug product consisting of the semisynthetic antibiotic piperacillin sodium and the p-Iactamase inhibitor tazobactam sodium for intravenous administration. The product is principally administered in hospitals and is indicated for the treatment of patients with moderate to severe infections caused by piperacillin-resistant, piperacillinltazobactam-susceptible, p-Iactamase-producing strains of the designated microorganisms in the specified conditions listed in the labeling. Zosyn is useful as presumptiye therapy in the indicated conditions prior to the identification of causative organisms because of its broad spectrum of bactericidal activity against gram-positive and g",
FDA-2005-P-0009-0003,FDA-2005-P-0009,"Citizen Petition Approval Response Letter from FDA CDER to Lachman Consultant Services, Inc.","Lachman Consultant Services, Inc.",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505@(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration’s (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505(j)(2)(C)(i) of the Act, the FDA must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength. The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product. The FDA concludes, therefore, that investigations are not necessary in this instance. In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to have the",
FDA-2005-P-0266-0007,FDA-2005-P-0266,"FDA/CDER Response Letter to Lachman Consultant Services, Inc - Petition Approval","Lachman Consultant Services, Inc.",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","ral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505(j)(2)(C)(i) of the Act, the FDA must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength. The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product . The FDA concludes, therefore, that investigations are not necessary in this instance . In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to have the s",
FDA-2006-P-0283-0003,FDA-2006-P-0283,FDA/CVM Response to MacLeon Pharmaceuticals Inc. - Petition Approval,Macleod Pharmaceuticals Inc.,CVM,Approved,Sufficient Evidence,medium,studies,"studies . We will conduct a definitive labeling review when the ANADA for the proposed generic product is submitted to the Center . The generic labeling should be a verbatim copy of the approved labeling for the pioneer, with certain allowable differences, such as manufacturer's tradename and the changes approved in this petition . You may contact Dr . Daniel A. Benz, Generic Animal Drug Team, telephone 301-827- 0 169, for any questions on the specific requirements for the ANADA submission . Sincerely yours, awo+vk Steven D. Vaughn, DVM Director Office of New Animal Drug Evaluation Center for Veterinary Medicine",
FDA-2006-P-0331-0008,FDA-2006-P-0331,FDA to Rakoczy Molino Mazzochi Siwik LLP - Petition Approval,Rakoczy Molino Mazzochi Siwik Llp,CDER,Approved,FDA Concurrence,medium,granted,"and other relevant data available to the Agency. Based on our review ofthese materials and for the reasons described below, the Sandoz, Rakoczy, and Orchid Petitions are granted and the Wyeth Petition is granted in part and denied in part. I. BACKGROUND A. Zosyn Zosyn (piperaciIlin and tazobactam for injection) is an injectable antibacterial combination drug product consisting of the semisynthetic antibiotic piperacillin sodium and the p-Iactamase inhibitor tazobactam sodium for intravenous administration. The product is principally administered in hospitals and is indicated for the treatment of patients with moderate to severe infections caused by piperacillin-resistant, piperacillinltazobactam-susceptible, p-Iactamase-producing strains of the designated microorganisms in the specified conditions listed in the labeling. Zosyn is useful as presumptiye therapy in the indicated conditions prior to the identification of causative organisms because of its broad spectrum of bactericidal activity against gram-positive and g",
FDA-2007-P-0004-0008,FDA-2007-P-0004,"Letter from CDER to Lachman Consultant Services, Inc","Lachman Consultant Services, Inc.",CDER,Approved,Safety Established,high,"anda, safety, safe","that is not identical to NDA 005213. We have reviewed your petition under section 505(j)(2)(C) of the Act and FDA’s implementing regulations at 21 CFR 314.93 and have determined that it is approved. This letter represents FDA’s determination that an ANDA may be submitted for the above-referenced drug product. 1 The Agency has determined that NDA 005213 was not voluntarily withdrawn from sale due to reasons of safety or effectiveness. Notice, Determination that HYCODAN (Hydrocodone Bitartrate and Homatropine Methylbromide) Tablets, 5 Milligrams/1.5 Milligrams, and HYCODAN (Hydrocodone Bitartrate and Homatropine Methylbromide) Oral Solution, 5 Milligrams/5 Milliliters and 1.5 Milligrams/5 Milliliters, Were Not Withdrawn From Sale for Reasons of Safety or Effectiveness, 76 Fed. Reg. 82302 (Dec. 30, 2011). 2 Under section 505(j)(2)(C) of the Act and 21 CFR 314.93(e)(1), FDA will approve a petition properly submitted under § 314.93 seeking a strength that diff",
FDA-2007-P-0016-0006,FDA-2007-P-0016,"FDA/CDER to Lachman Consultant Services, Inc. - Petition Approval","Lachman Consultant Services, Inc.",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505G)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505G)(2)(C)(i) of the Act, the FDA must approve a petition seeking a strength that differs from the strength ofthe listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness ofthe differing strength. The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, doses, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product. The FDA concludes, therefore, that investigations are not necessary in this instance. In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to have the",
FDA-2007-P-0061-0004,FDA-2007-P-0061,FDA/CDER to Orgenus Pharma Inc. - Petition Approval,"Orgenus Pharma, Inc.",CDER,Approved,Safety Established,high,"anda, safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505G)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. In addition, this petition and your waiver request were evaluated with respect to the ""Pediatric Research Equity Act of 2007"" (PREA). PREA requires that all applications for a new active ingredient, new indication, new dosage form, new dosing regimen, or new route of administration must contain an assessment of the safety and effectiveness of the drug for the claimed indication in relevant pediatric subpopulations unless the requirement is waived or deferred. Your ANDA suitability petition is affected by this Act because it is a petition for a change in dosage form. The FDA has determined that your proposed change in dosage form is subject to PREA, but has concluded that investigations are not necessary to demonstrate the safety an",
