Petitioner,Total,Approved,Denied,Approval_Rate
FDA CDER to Lachman Consult,8,8,0,100.0
FDA CDER t,7,7,0,100.0
"Lachman Consultant Services, Inc.",21,15,2,88.23529411764706
FDA CDER to Hyman  Phelps   M,6,5,1,83.33333333333334
FDA CDER,6,4,2,66.66666666666666
FDA CDER to,24,3,21,12.5
FDA C,16,2,14,12.5
"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",11,0,11,0.0
Public Citizen,7,0,5,0.0
FDA CVM to Harry Duty,6,0,6,0.0
Finkelstein and Partners,5,0,4,0.0
