Docket ID,Petition_Doc,Response_Doc,Response_Days,Within_180
FDA-2001-P-0030,FDA-2001-P-0030-0004,FDA-2001-P-0030-0003,434,False
FDA-2001-P-0054,FDA-2001-P-0054-0002,FDA-2001-P-0054-0001,818,False
FDA-2001-P-0122,FDA-2001-P-0122-0002,FDA-2001-P-0122-0007,189,False
FDA-2001-P-0122,FDA-2001-P-0122-0002,FDA-2001-P-0122-0001,1312,False
FDA-2001-P-0123,FDA-2001-P-0123-0045,FDA-2001-P-0123-0060,205,False
FDA-2001-P-0123,FDA-2001-P-0123-0045,FDA-2001-P-0123-0029,1942,False
FDA-2001-P-0153,FDA-2001-P-0153-0001,FDA-2001-P-0153-0002,2449,False
FDA-2001-P-0154,FDA-2001-P-0154-0003,FDA-2001-P-0154-0005,188,False
FDA-2001-P-0154,FDA-2001-P-0154-0003,FDA-2001-P-0154-0002,963,False
FDA-2001-P-0238,FDA-2001-P-0238-0004,FDA-2001-P-0238-0005,184,False
FDA-2001-P-0239,FDA-2001-P-0239-0001,FDA-2001-P-0239-0005,186,False
FDA-2001-P-0283,FDA-2001-P-0283-0001,FDA-2001-P-0283-0003,172,True
FDA-2002-P-0001,FDA-2002-P-0001-0002,FDA-2002-P-0001-0005,204,False
FDA-2002-P-0002,FDA-2002-P-0002-0002,FDA-2002-P-0002-0001,302,False
FDA-2002-P-0041,FDA-2002-P-0041-0024,FDA-2002-P-0041-0023,949,False
FDA-2002-P-0046,FDA-2002-P-0046-0003,FDA-2002-P-0046-0008,100,True
FDA-2002-P-0076,FDA-2002-P-0076-0002,FDA-2002-P-0076-0007,252,False
FDA-2002-P-0076,FDA-2002-P-0076-0002,FDA-2002-P-0076-0001,547,False
FDA-2002-P-0168,FDA-2002-P-0168-0002,FDA-2002-P-0168-0001,489,False
FDA-2002-P-0208,FDA-2002-P-0208-0005,FDA-2002-P-0208-0001,603,False
FDA-2002-P-0210,FDA-2002-P-0210-0002,FDA-2002-P-0210-0004,100,True
FDA-2002-P-0212,FDA-2002-P-0212-0002,FDA-2002-P-0212-0001,406,False
